MET,Alt_CG_Geod_CM (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_LAS (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_Booster (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Quat1_s (CM),Quat1_v0 (CM),Quat1_v1 (CM),Quat1_v2 (CM),Quat1_s (LAS),Quat1_v0 (LAS),Quat1_v1 (LAS),Quat1_v2 (LAS),Quat1_s (Booster),Quat1_v0 (Booster),Quat1_v1 (Booster),Quat1_v2 (Booster),Engine Flag,reserved
1.65,-45.561993,0.49669454,-1.4054857,-45.561993,0.49669454,-1.4054851,-45.561993,0.49669454,-1.4054849,0.447278544,0.54868335,0.44571689,-0.54792786,0.447278544,0.54868335,0.44571689,-0.54792786,0.447278544,0.54868335,0.44571689,-0.54792786,0,0
1.675,-45.563061,0.49669454,-1.4054857,-45.563061,0.49669454,-1.4054851,-45.563061,0.49669454,-1.4054849,0.44724801,0.5487029,0.44577435,-0.54788649,0.44724801,0.5487029,0.44577435,-0.54788649,0.44724801,0.5487029,0.44577435,-0.54788649,0,0
1.7,-45.564213,0.49669454,-1.4054857,-45.564213,0.49669454,-1.4054851,-45.564213,0.49669454,-1.4054849,0.447215615,0.54872972,0.44583526,-0.54783648,0.447215615,0.54872972,0.44583526,-0.54783648,0.447215615,0.54872972,0.44583526,-0.54783648,0,0
1.725,-45.565353,0.49669454,-1.4054857,-45.565353,0.49669454,-1.4054851,-45.565353,0.49669454,-1.4054849,0.447189343,0.54875213,0.44589335,-0.5477882,0.447189343,0.54875213,0.44589335,-0.5477882,0.447189343,0.54875213,0.44589335,-0.5477882,0,0
1.75,-45.566437,0.49669454,-1.4054857,-45.566437,0.49669454,-1.4054851,-45.566437,0.49669454,-1.4054849,0.447156015,0.54877448,0.44594532,-0.54775071,0.447156015,0.54877448,0.44594532,-0.54775071,0.447156015,0.54877448,0.44594532,-0.54775071,0,0
1.775,-45.567593,0.49669454,-1.4054857,-45.567593,0.49669454,-1.4054851,-45.567593,0.49669454,-1.4054849,0.44712508,0.54880011,0.44600153,-0.54770458,0.44712508,0.54880011,0.44600153,-0.54770458,0.44712508,0.54880011,0.44600153,-0.54770458,0,0
1.8,-45.568684,0.49669454,-1.4054856,-45.568684,0.49669454,-1.405485,-45.568684,0.49669454,-1.4054848,0.447103761,0.54881078,0.44606781,-0.54765725,0.447103761,0.54881078,0.44606781,-0.54765725,0.447103761,0.54881078,0.44606781,-0.54765725,0,0
1.825,-45.569847,0.49669454,-1.4054856,-45.569847,0.49669454,-1.405485,-45.569847,0.49669454,-1.4054848,0.447074577,0.54883921,0.44611228,-0.54761636,0.447074577,0.54883921,0.44611228,-0.54761636,0.447074577,0.54883921,0.44611228,-0.54761636,0,0
1.85,-45.571041,0.49669454,-1.4054856,-45.571041,0.49669454,-1.405485,-45.571041,0.49669454,-1.4054848,0.447044515,0.54886723,0.44616756,-0.54756778,0.447044515,0.54886723,0.44616756,-0.54756778,0.447044515,0.54886723,0.44616756,-0.54756778,0,0
1.875,-45.572147,0.49669454,-1.4054856,-45.572147,0.49669454,-1.405485,-45.572147,0.49669454,-1.4054848,0.44701806,0.54888272,0.44622582,-0.54752636,0.44701806,0.54888272,0.44622582,-0.54752636,0.44701806,0.54888272,0.44622582,-0.54752636,0,0
1.9,-45.573261,0.49669454,-1.4054856,-45.573261,0.49669454,-1.405485,-45.573261,0.49669454,-1.4054848,0.446982543,0.54891074,0.44628319,-0.54748052,0.446982543,0.54891074,0.44628319,-0.54748052,0.446982543,0.54891074,0.44628319,-0.54748052,0,0
1.925,-45.574379,0.49669454,-1.4054856,-45.574379,0.49669454,-1.405485,-45.574379,0.49669454,-1.4054848,0.446961438,0.54892623,0.44633937,-0.54743642,0.446961438,0.54892623,0.44633937,-0.54743642,0.446961438,0.54892623,0.44633937,-0.54743642,0,0
